Pair,Site,Year,Species,spp_trt,Phytometer,Neighbour,Treatment,light,carbon,WUE
1,PTY1,2016,Phragmites,Phragmites_Typha_Competition,Phragmites_Typha,Typha,Competition,1500,17.7,3.06
1,PTY1CU,2016,Phragmites,Phragmites_Typha_No competition,Phragmites_Typha,Typha,No competition,1500,22.5,3.57
2,PTY2,2016,Phragmites,Phragmites_Typha_Competition,Phragmites_Typha,Typha,Competition,1500,16.8,3.3
2,PTY2CU,2016,Phragmites,Phragmites_Typha_No competition,Phragmites_Typha,Typha,No competition,1500,25.8,3.79
3,PTY3,2016,Phragmites,Phragmites_Typha_Competition,Phragmites_Typha,Typha,Competition,1500,15.1,3.29
3,PTY3CU,2016,Phragmites,Phragmites_Typha_No competition,Phragmites_Typha,Typha,No competition,1500,22,3.31
4,PTY4,2016,Phragmites,Phragmites_Typha_Competition,Phragmites_Typha,Typha,Competition,1500,23.5,4.38
4,PTY4CU,2016,Phragmites,Phragmites_Typha_No competition,Phragmites_Typha,Typha,No competition,1500,23.2,4.11
5,PTY5,2016,Phragmites,Phragmites_Typha_Competition,Phragmites_Typha,Typha,Competition,1500,18.2,3.23
5,PTY5CU,2016,Phragmites,Phragmites_Typha_No competition,Phragmites_Typha,Typha,No competition,1500,5.7,2.91
6,PTY6,2016,Phragmites,Phragmites_Typha_Competition,Phragmites_Typha,Typha,Competition,1500,22.1,3
6,PTY6CU,2016,Phragmites,Phragmites_Typha_No competition,Phragmites_Typha,Typha,No competition,1500,19.6,3.18
4,TYP4,2016,Typha,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,Competition,1500,15.9,2.6
4,TYP4CU,2016,Typha,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,No competition,1500,16.1,2.17
5,TYP5,2016,Typha,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,Competition,1500,19.5,2.58
5,TYP5CU,2016,Typha,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,No competition,1500,17.4,2.17
6,TYP6,2016,Typha,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,Competition,1500,16.7,2.39
6,TYP6CU,2016,Typha,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,No competition,1500,24.5,3.04
1,PCC1,2016,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,15.7,4.01
1,PCC1CU,2016,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,25.9,3.83
2,PCC2,2016,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,15.1,2.81
2,PCC2CU,2016,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,23.6,3.12
3,PCC3,2016,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,17.3,2.82
3,PCC3CU,2016,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,19,4.25
4,PCC4CU,2016,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,20.4,3.21
1,TYP1,2016,Typha,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,Competition,1500,21.5,2.83
1,TYP1CU,2016,Typha,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,No competition,1500,28.1,3.12
2,TYP2,2016,Typha,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,Competition,1500,19.2,2.69
2,TYP2CU,2016,Typha,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,No competition,1500,27,3.83
3,TYP3,2016,Typha,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,Competition,1500,13.8,2.92
3,TYP3CU,2016,Typha,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,No competition,1500,20.1,3.08
1,PCA1,2016,Phragmites,Phragmites_Carex_Competition,Phragmites_Carex,Carex,Competition,1500,11.9,2.44
1,PCA1CU,2016,Phragmites,Phragmites_Carex_No competition,Phragmites_Carex,Carex,No competition,1500,23.9,3.17
2,PCA2,2016,Phragmites,Phragmites_Carex_Competition,Phragmites_Carex,Carex,Competition,1500,22.5,3.03
2,PCA2CU,2016,Phragmites,Phragmites_Carex_No competition,Phragmites_Carex,Carex,No competition,1500,23.5,3.13
3,PCA3,2016,Phragmites,Phragmites_Carex_Competition,Phragmites_Carex,Carex,Competition,1500,17.1,2.71
3,PCA3CU,2016,Phragmites,Phragmites_Carex_No competition,Phragmites_Carex,Carex,No competition,1500,22.2,3.34
4,PCA4,2016,Phragmites,Phragmites_Carex_Competition,Phragmites_Carex,Carex,Competition,1500,15,2.88
4,PCA4CU,2016,Phragmites,Phragmites_Carex_No competition,Phragmites_Carex,Carex,No competition,1500,25.4,3.35
5,PCA5,2016,Phragmites,Phragmites_Carex_Competition,Phragmites_Carex,Carex,Competition,1500,20.4,2.72
6,PCA6,2016,Phragmites,Phragmites_Carex_Competition,Phragmites_Carex,Carex,Competition,1500,20.9,2.8
6,PCA6CU,2016,Phragmites,Phragmites_Carex_No competition,Phragmites_Carex,Carex,No competition,1500,23.6,3.04
4,PCC4,2016,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,23.2,3.21
5,PCC5,2016,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,14.2,2.68
5,PCC5CU,2016,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,19,2.61
6,PCC6,2016,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,18.4,2.83
6,PCC6CU,2016,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,17.7,2.91
12,CAP12,2016,Carex,Carex_Phragmites_Competition,Carex_Phragmites,Phragmites,Competition,1500,4.1,1.36
4,CCP4,2016,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,8,1.95
5,CCP5,2016,Calamagrostis,Calamagrostis_Phragmites_Competition,Calamagrostis_Phragmites,Phragmites,Competition,1500,7.4,1.72
5,CCP5CU,2016,Calamagrostis,Calamagrostis_Phragmites_No competition,Calamagrostis_Phragmites,Phragmites,No competition,1500,13.4,2.07
